titles,videoIds,publishedAt,video_urls
"Portfolio Committee on Cooperative Governance and Traditional Affairs,  8 May 2020",7e2zACLkSxw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=7e2zACLkSxw
"Portfolio Committee on Higher Education, Science and Technology, 11 May 2020",hkxbYc3tKM0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=hkxbYc3tKM0
"Portfolio Committee on Agriculture, Land Reform and Rural Development,11 May 2020",KItwViZ3d-I,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=KItwViZ3d-I
"Portfolio Committee on Home Affairs, 11 May 2020",5TUBryqf_AM,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=5TUBryqf_AM
"JM: PC on Tourism and SC on Trade and Industry, Economic Development, Small Business Development, To",BPQxjPQZmeI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=BPQxjPQZmeI
"JM: PC on on Trade and Industry and Select Committee on DTI, Economic Development, Small Business ,",S68GSQ83VDg,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=S68GSQ83VDg
"Portfolio Committee on Transport,11 May 2020",I4dA3uOQygE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=I4dA3uOQygE
Joint meeting of PC and SC on Cooperative Governance and Traditional Affairs 11 May 2020,09BesHfeCpM,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=09BesHfeCpM
"Portfolio Committee on Communications,11 May 2020",hffg_mwu9-4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=hffg_mwu9-4
"Portfolio Committee on Trade and Industry, 12 May 2020",vSCYMZmDg3Y,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=vSCYMZmDg3Y
"JM: PC on Sports, Arts and Culture & SC on Education and Technology, Sports, Arts & Culture 12 05 2",beU93wy_LYk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=beU93wy_LYk
"Portfolio Committee on Mineral Resources and Energy, 12 May 2020",4WZWACKCJgI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=4WZWACKCJgI
"Portfolio Committee on Human Settlements, Water and Sanitation, 12 May 2020",_lR6MTubD4g,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=_lR6MTubD4g
Joint Standing Committee on the Financial Management of Parliament 12 May 2020,KvHBiygZcHM,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=KvHBiygZcHM
"JM: PC on Basic Education and SC on Education and Technology, Sports, Arts and Culture,  12 May 2020",0hrKp_gYzmg,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=0hrKp_gYzmg
"Portfolio Committee on Communications, 12 May 2020",RM9X3Mldw0w,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=RM9X3Mldw0w
"JM: PC on COGTA and the SC on COGTA, Water and Sanitation and Human Settlements, 12 May 2020",sSLS93Zt_PY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=sSLS93Zt_PY
Joint Meeting: Portfolio Committee on Police & Select Committee on Security and Justice 13 May 2020,70jVHgFmlZE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=70jVHgFmlZE
"Portfolio Committee on Health, 13 May 2020",I2v4PKtqy7Q,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=I2v4PKtqy7Q
"JM:PC on Public Works and Infrastructure and SC on Transport, Public Service  13 May 2020",q_KJGlUeO1Q,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=q_KJGlUeO1Q
"Portfolio Committee on Public Service and Administration, 13 May 2020",DCFr4iI1rlI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=DCFr4iI1rlI
"Portfolio Committee on Trade and Industry, 13 May 2020",jXbzMy8pbH0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=jXbzMy8pbH0
"Portfolio Committee on Social Development, 13 May 2020",RG2yXiAYYBg,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=RG2yXiAYYBg
"JM: PC on COGTA and the SC on COGTA, Water and Sanitation and Human Settlements 13 May 2020",rDOYzlvRdgI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=rDOYzlvRdgI
"NATIONAL ASSEMBLY PROGRAMME COMMITTEE MEETING, 14 May 2020",epgupRU_S5M,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=epgupRU_S5M
